_c0,id,order_status,order_products_value,order_freight_value,order_items_qty,order_sellers_qty,order_purchase_timestamp,order_aproved_at,order_estimated_delivery_date,order_delivered_customer_date,customer_city,customer_state,customer_zip_code_prefix,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,votes_before_estimate,votes_delayed,votes_low_quality,votes_return,votes_not_as_anounced,votes_partial_delivery,votes_other_delivery,votes_other_order,votes_satisfied,most_voted_subclass,most_voted_class,ts,datetype,week_of_month,day_of_week,order_deliver_timestamp,order_purchase_timestamp_conv,deliver_time
10,11,delivered,99.99,14.43,1,1,2018-02-13T17:15:23.000Z,2018-02-14T17:10:31.680Z,2018-03-23T00:00:00.000Z,2018-02-26T18:57:21.110Z,Sao Paulo,SP,33,informatica_acessorios,58,1390,2,5,"",foi entregue produto de outra marca inferior ao que foi comprado já reclamei e ninguém entrou em contato quero a troca ou meu dinheiro de volta,2018-02-27T00:00:00.000Z,2018-02-28 02:48:19+00:00,0,0,0,2,1,0,0,0,0,devolucao,problemas_de_qualidade,2018-02-13T17:15:23.000Z,2018-02-13,3,3,2018-02-26T18:57:21.110Z,2018-02-13T17:15:23.000Z,1129318
11,12,delivered,65.9,17.2,1,1,2017-04-19T13:45:55.000Z,2017-04-21T05:22:15.332Z,2017-05-25T00:00:00.000Z,2017-05-09T09:03:57.659Z,Nova Iguacu,RJ,260,cama_mesa_banho,46,104,1,5,"",o produto atendeu com as minhas espectativas,2017-05-10T00:00:00.000Z,2017-05-13 16:55:32+00:00,0,0,0,0,0,0,0,0,3,satisfeito,satisfeito_com_pedido,2017-04-19T13:45:55.000Z,2017-04-19,4,4,2017-05-09T09:03:57.659Z,2017-04-19T13:45:55.000Z,1711082
12,13,delivered,137.4,12.17,1,1,2017-09-13T23:19:51.000Z,2017-09-13T23:30:11.359Z,2017-09-25T00:00:00.000Z,2017-09-15T19:51:12.828Z,Sao Paulo,SP,43,livros_interesse_geral,46,3833,7,1,"",vieram apenas 6 livrinhos e não 18 como consta no anúncio quando liguei na loja me informaram que cada livrinho tem 3 edições ou seja cada livrinho sai por 23 reais me senti enganada,2017-09-16T00:00:00.000Z,2017-09-19 04:39:53+00:00,0,0,0,0,1,2,0,0,0,entrega_parcial,problemas_de_entrega,2017-09-13T23:19:51.000Z,2017-09-13,3,4,2017-09-15T19:51:12.828Z,2017-09-13T23:19:51.000Z,160281
13,14,shipped,69.99,15.24,1,1,2018-01-31T21:35:00.000Z,2018-02-01T03:12:39.553Z,2018-03-05T00:00:00.000Z,"",Fortaleza,CE,608,consoles_games,39,2751,6,1,"",ainda não recebi o produto,2018-03-08T00:00:00.000Z,2018-03-11 11:37:23+00:00,0,3,0,0,0,0,0,0,0,atrasado,problemas_de_entrega,2018-01-31T21:35:00.000Z,2018-01-31,5,4,"",2018-01-31T21:35:00.000Z,""
14,15,delivered,59.9,12.81,1,4,2017-06-27T14:18:07.000Z,2017-06-28T02:45:37.898Z,2017-07-19T00:00:00.000Z,2017-06-29T13:30:01.787Z,Sao Paulo,SP,14,utilidades_domesticas,41,799,1,4,"",foram adquiridos 2 produtos o mop foi entregue mas o refil extra não chegou será remetido em separado,2017-06-30T00:00:00.000Z,2017-07-01 15:16:39+00:00,0,0,0,0,0,3,0,0,0,entrega_parcial,problemas_de_entrega,2017-06-27T14:18:07.000Z,2017-06-27,5,3,2017-06-29T13:30:01.787Z,2017-06-27T14:18:07.000Z,169914
15,16,delivered,66.0,25.74,1,1,2017-10-10T23:17:10.000Z,2017-10-10T23:28:18.809Z,2017-11-10T00:00:00.000Z,2017-10-30T19:52:38.924Z,Vitoria de Santo Antao,PE,556,moveis_decoracao,45,494,1,5,"",entregue corretamente amei a encomenda,2017-10-31T00:00:00.000Z,2017-11-03 00:28:54+00:00,0,0,0,0,0,0,0,0,3,satisfeito,satisfeito_com_pedido,2017-10-10T23:17:10.000Z,2017-10-10,2,3,2017-10-30T19:52:38.924Z,2017-10-10T23:17:10.000Z,1715728
16,17,delivered,23.7,8.82,1,1,2018-03-15T12:11:58.000Z,2018-03-16T03:50:11.800Z,2018-04-11T00:00:00.000Z,2018-03-21T23:12:15.236Z,Sao Jose dos Campos,SP,122,eletrodomesticos,31,115,1,5,"",eu recomendo atendimento ótimo entrega no prazo,2018-03-22T00:00:00.000Z,2018-03-24 23:55:58+00:00,0,0,0,0,0,0,0,0,3,satisfeito,satisfeito_com_pedido,2018-03-15T12:11:58.000Z,2018-03-15,3,5,2018-03-21T23:12:15.236Z,2018-03-15T12:11:58.000Z,558017
17,18,delivered,59.99,8.72,1,1,2018-02-28T15:19:56.000Z,2018-02-28T15:30:47.379Z,2018-03-13T00:00:00.000Z,2018-03-05T17:17:22.737Z,Sao Paulo,SP,14,brinquedos,29,291,3,5,"",recebi a mercadoria bem antes do prazo estipulado,2018-03-06T00:00:00.000Z,2018-03-07 14:37:50+00:00,3,0,0,0,0,0,0,0,0,antes_prazo,satisfeito_com_pedido,2018-02-28T15:19:56.000Z,2018-02-28,5,4,2018-03-05T17:17:22.737Z,2018-02-28T15:19:56.000Z,439046
18,19,delivered,97.9,11.89,1,1,2017-12-25T12:05:50.000Z,2017-12-27T04:07:30.196Z,2018-01-15T00:00:00.000Z,2018-01-10T16:44:06.620Z,Praia Grande,SP,117,eletronicos,60,390,7,5,"",tudo dentro do esperado recebido antes do prazo perfeito obrigado,2018-01-11T00:00:00.000Z,2018-01-12 21:33:40+00:00,3,0,0,0,0,0,0,0,0,antes_prazo,satisfeito_com_pedido,2017-12-25T12:05:50.000Z,2017-12-25,5,2,2018-01-10T16:44:06.620Z,2017-12-25T12:05:50.000Z,1399096
19,20,delivered,195.99,34.14,1,4,2017-08-20T19:40:35.000Z,2017-08-21T20:25:43.187Z,2017-09-15T00:00:00.000Z,2017-08-28T19:37:45.467Z,Vila Velha,ES,291,cama_mesa_banho,46,471,1,2,"",eu so recebi 01 kit cobre leito queen vitoria floral tabaco palha 7peças os correios so me entregou este falta a entrega da colcha cobre leito requinte super king percal 000 fios bege estou no aguardo,2017-08-29T00:00:00.000Z,2017-09-01 04:41:31+00:00,0,0,0,0,0,3,0,0,0,entrega_parcial,problemas_de_entrega,2017-08-20T19:40:35.000Z,2017-08-20,4,1,2017-08-28T19:37:45.467Z,2017-08-20T19:40:35.000Z,691030
20,21,delivered,44.9,11.85,1,1,2017-07-20T16:24:22.000Z,2017-07-20T16:35:15.419Z,2017-08-09T00:00:00.000Z,2017-07-26T01:42:01.100Z,Bauru,SP,170,brinquedos,45,589,4,2,"",comprei três produtos que poderiam ser enviados dentro de um pacote só e assim talvez poderia economizar no frete achei um absurdo pagar no frete quase metade do valor em si,2017-07-26T00:00:00.000Z,2017-07-28 02:56:33+00:00,0,0,0,0,0,1,2,0,0,outro_entrega,problemas_de_entrega,2017-07-20T16:24:22.000Z,2017-07-20,4,5,2017-07-26T01:42:01.100Z,2017-07-20T16:24:22.000Z,465459
21,22,delivered,89.9,14.8,1,1,2017-04-17T10:50:15.000Z,2017-04-17T11:02:13.728Z,2017-05-11T00:00:00.000Z,2017-04-29T07:03:40.988Z,Foz do Iguacu,PR,858,casa_conforto,56,187,1,4,"",recomendo o produto foi entregue antes do prazo e em perfeitas condições,2017-04-30T00:00:00.000Z,2017-05-02 22:46:00+00:00,2,0,0,0,0,0,0,0,1,antes_prazo,satisfeito_com_pedido,2017-04-17T10:50:15.000Z,2017-04-17,4,2,2017-04-29T07:03:40.988Z,2017-04-17T10:50:15.000Z,1023205
22,23,delivered,89.9,16.26,1,1,2017-09-18T18:02:45.000Z,2017-09-18T18:15:14.381Z,2017-10-04T00:00:00.000Z,2017-09-25T22:09:40.089Z,Itaquaquecetuba,SP,85,cama_mesa_banho,54,245,1,5,"",gosto muito de fazer compras nesta loja produto de boa qualidade e a entrega é rápida,2017-09-26T00:00:00.000Z,2017-09-27 04:56:16+00:00,1,0,0,0,0,0,0,0,2,satisfeito,satisfeito_com_pedido,2017-09-18T18:02:45.000Z,2017-09-18,4,2,2017-09-25T22:09:40.089Z,2017-09-18T18:02:45.000Z,619615
23,24,delivered,56.99,49.11,1,6,2017-10-17T16:48:16.000Z,2017-10-19T00:07:25.649Z,2017-11-14T00:00:00.000Z,2017-10-25T21:22:43.775Z,Sao Goncalo do Amarante,RN,592,cama_mesa_banho,50,405,1,1,"",a loja não entregou todos os produtos e mesmo assim consta no status como entregue,2017-10-26T00:00:00.000Z,2017-10-27 21:18:43+00:00,0,1,0,0,0,2,0,0,0,entrega_parcial,problemas_de_entrega,2017-10-17T16:48:16.000Z,2017-10-17,3,3,2017-10-25T21:22:43.775Z,2017-10-17T16:48:16.000Z,707667
24,25,delivered,53.99,7.78,1,1,2017-10-24T08:27:15.000Z,2017-10-24T08:35:18.644Z,2017-11-07T00:00:00.000Z,2017-10-27T15:10:02.891Z,Sao Bernardo do Campo,SP,98,perfumaria,44,334,1,5,"",amei super recomendo pincéis lindos e de boa qualidade,2017-10-28T00:00:00.000Z,2017-10-29 00:18:14+00:00,0,0,0,0,0,0,0,0,3,satisfeito,satisfeito_com_pedido,2017-10-24T08:27:15.000Z,2017-10-24,4,3,2017-10-27T15:10:02.891Z,2017-10-24T08:27:15.000Z,283367
25,26,delivered,41.3,0.69,1,4,2017-11-08T20:44:32.000Z,2017-11-08T20:56:37.534Z,2017-11-22T00:00:00.000Z,2017-11-11T16:05:02.475Z,Guaruja,SP,114,fashion_bolsas_e_acessorios,52,1519,2,2,"",dos dois produtos listados como entregue o único que veio foi a necessarie o colar não chegou até o presente momento,2017-11-12T00:00:00.000Z,2017-11-14 16:57:38+00:00,0,0,0,0,0,3,0,0,0,entrega_parcial,problemas_de_entrega,2017-11-08T20:44:32.000Z,2017-11-08,2,4,2017-11-11T16:05:02.475Z,2017-11-08T20:44:32.000Z,242430
26,27,delivered,225.0,22.41,1,1,2017-06-07T10:37:39.000Z,2017-06-07T10:45:31.444Z,2017-07-06T00:00:00.000Z,2017-06-15T11:56:06.656Z,Sapucaia do Sul,RS,932,cama_mesa_banho,58,162,4,5,"",chegou antes do prazo produto exatamente como esperava,2017-06-16T00:00:00.000Z,2017-06-16 22:20:15+00:00,3,0,0,0,0,0,0,0,0,antes_prazo,satisfeito_com_pedido,2017-06-07T10:37:39.000Z,2017-06-07,2,4,2017-06-15T11:56:06.656Z,2017-06-07T10:37:39.000Z,695907
27,28,delivered,89.0,7.88,1,1,2017-07-30T20:42:14.000Z,2017-07-30T20:50:15.601Z,2017-08-11T00:00:00.000Z,2017-08-01T19:18:52.373Z,Sao Paulo,SP,24,audio,42,671,5,5,"",parabéns muito bom chegou até antes do prazo,2017-08-02T00:00:00.000Z,2017-08-03 04:07:58+00:00,3,0,0,0,0,0,0,0,0,antes_prazo,satisfeito_com_pedido,2017-07-30T20:42:14.000Z,2017-07-30,6,1,2017-08-01T19:18:52.373Z,2017-07-30T20:42:14.000Z,167798
28,29,delivered,132.97,12.43,1,1,2018-02-05T09:38:08.000Z,2018-02-07T02:52:16.026Z,2018-03-02T00:00:00.000Z,2018-03-02T15:23:13.770Z,Sao Joaquim da Barra,SP,146,informatica_acessorios,42,604,1,5,"",o produto veio correto no prazo certo tudo certo recomendo a todos,2018-03-03T00:00:00.000Z,2018-03-05 23:14:26+00:00,0,0,0,0,0,0,0,0,3,satisfeito,satisfeito_com_pedido,2018-02-05T09:38:08.000Z,2018-02-05,2,2,2018-03-02T15:23:13.770Z,2018-02-05T09:38:08.000Z,2180705
29,30,delivered,104.9,17.21,1,1,2017-10-03T22:20:31.000Z,2017-10-03T22:35:13.510Z,2017-10-25T00:00:00.000Z,2017-10-09T21:44:37.407Z,Belo Horizonte,MG,311,perfumaria,55,556,7,5,"",confio na lannister,2017-10-10T00:00:00.000Z,2017-10-11 04:01:33+00:00,0,0,0,0,0,0,0,0,3,satisfeito,satisfeito_com_pedido,2017-10-03T22:20:31.000Z,2017-10-03,1,3,2017-10-09T21:44:37.407Z,2017-10-03T22:20:31.000Z,516246
30,31,delivered,39.98,28.2,2,1,2017-07-30T16:03:25.000Z,2017-07-30T16:15:20.371Z,2017-08-29T00:00:00.000Z,2017-08-03T19:14:45.685Z,RIO DE JANEIRO,RJ,202,telefonia,54,599,1,1,"",minha compra foi entregue errada inclusive a nota fiscal e de outra pessoa exijo cancelamento no cartao com estorno e a coleta do produto entregue,2017-08-04T00:00:00.000Z,2017-08-05 02:42:17+00:00,0,0,0,1,1,0,1,0,0,"","",2017-07-30T16:03:25.000Z,2017-07-30,6,1,2017-08-03T19:14:45.685Z,2017-07-30T16:03:25.000Z,357080
31,32,delivered,99.99,25.11,1,4,2017-12-03T19:18:56.000Z,2017-12-03T19:33:51.393Z,2017-12-29T00:00:00.000Z,2018-01-04T21:38:48.302Z,Angra dos Reis,RJ,239,moveis_decoracao,63,254,2,1,"",recebinum email nele constava que houve um problema no transporte da minha encomenda porém quando pedi um exclarecimento simplesmente ignoraram,2017-12-31T00:00:00.000Z,2017-12-31 15:59:45+00:00,0,2,0,0,0,0,0,1,0,atrasado,problemas_de_entrega,2017-12-03T19:18:56.000Z,2017-12-03,2,1,2018-01-04T21:38:48.302Z,2017-12-03T19:18:56.000Z,2773192
32,33,delivered,1399.99,74.43,1,1,2017-12-30T18:59:05.000Z,2017-12-30T19:07:21.635Z,2018-02-08T00:00:00.000Z,2018-01-11T21:03:36.502Z,Angra dos Reis,RJ,239,esporte_lazer,49,1263,2,4,"",gostei da entrega e do produto mas infelizmente chegou um pouco arranhada,2018-01-12T00:00:00.000Z,2018-01-15 01:46:30+00:00,0,0,1,1,0,0,1,0,0,"","",2017-12-30T18:59:05.000Z,2017-12-30,5,7,2018-01-11T21:03:36.502Z,2017-12-30T18:59:05.000Z,1044271
33,34,delivered,470.0,38.59,2,2,2017-11-27T13:29:05.000Z,2017-11-27T13:39:22.613Z,2017-12-21T00:00:00.000Z,2017-12-05T18:38:53.519Z,Jatai,GO,758,informatica_acessorios,41,1482,3,5,"",loja entrou em contato para confirmar a tenção da minha casa gostei muito do atendimento e do envio que foi bem rápido,2017-12-06T00:00:00.000Z,2017-12-11 15:49:59+00:00,0,0,0,0,0,0,0,0,3,satisfeito,satisfeito_com_pedido,2017-11-27T13:29:05.000Z,2017-11-27,5,2,2017-12-05T18:38:53.519Z,2017-11-27T13:29:05.000Z,709788
34,35,delivered,149.99,16.68,1,1,2017-06-06T20:40:59.000Z,2017-06-06T20:50:21.301Z,2017-06-28T00:00:00.000Z,2017-06-16T12:47:56.241Z,Guarulhos,SP,72,cama_mesa_banho,52,662,1,5,"",veio no prazo prometido,2017-06-17T00:00:00.000Z,2017-06-18 03:07:30+00:00,0,0,0,0,0,0,0,0,3,satisfeito,satisfeito_com_pedido,2017-06-06T20:40:59.000Z,2017-06-06,2,3,2017-06-16T12:47:56.241Z,2017-06-06T20:40:59.000Z,835617
35,36,delivered,86.0,11.42,1,2,2018-02-21T22:08:55.000Z,2018-02-21T22:25:23.914Z,2018-03-23T00:00:00.000Z,2018-03-02T16:08:54.671Z,Mirassol,SP,151,automotivo,33,888,1,5,"",preço e prazo bem competitivos,2018-03-03T00:00:00.000Z,2018-03-06 06:15:03+00:00,0,0,0,0,0,0,0,0,3,satisfeito,satisfeito_com_pedido,2018-02-21T22:08:55.000Z,2018-02-21,4,4,2018-03-02T16:08:54.671Z,2018-02-21T22:08:55.000Z,755999
36,37,delivered,119.99,13.86,1,1,2017-07-27T22:42:22.000Z,2017-07-27T22:55:20.791Z,2017-08-16T00:00:00.000Z,2017-08-03T18:27:59.654Z,Porto Feliz,SP,185,esporte_lazer,52,2371,1,5,"",pedido apenas veio errado mas foi entregue na data certa,2017-08-04T00:00:00.000Z,2017-08-06 16:17:13+00:00,0,0,0,1,2,0,0,0,0,diferente_do_anunciado,problemas_de_qualidade,2017-07-27T22:42:22.000Z,2017-07-27,5,5,2017-08-03T18:27:59.654Z,2017-07-27T22:42:22.000Z,589537
37,38,delivered,143.8,30.2,1,2,2017-06-27T23:02:14.000Z,2017-06-28T06:45:23.236Z,2017-07-27T00:00:00.000Z,2017-07-11T18:37:46.271Z,Itabuna,BA,456,automotivo,53,621,1,5,"",chegou muito rápido fiquei na duvida por nao conhecer o produto mas muito bom o produto,2017-07-12T00:00:00.000Z,2017-07-13 02:13:34+00:00,2,0,0,0,0,0,0,0,1,antes_prazo,satisfeito_com_pedido,2017-06-27T23:02:14.000Z,2017-06-27,5,3,2017-07-11T18:37:46.271Z,2017-06-27T23:02:14.000Z,1193732
38,39,delivered,105.0,3.65,1,4,2017-09-18T15:07:49.000Z,2017-09-18T15:32:48.667Z,2017-09-28T00:00:00.000Z,2017-09-19T18:25:18.729Z,Sao Paulo,SP,57,perfumaria,45,971,2,5,"",fiz o pedido na segunda e o prazo era de 10 dias e no dia chegou super rápido e o produto é o que eu queria td perfeito recomendo a tds,2017-09-20T00:00:00.000Z,2017-09-21 04:35:59+00:00,1,0,0,0,0,0,0,0,2,satisfeito,satisfeito_com_pedido,2017-09-18T15:07:49.000Z,2017-09-18,4,2,2017-09-19T18:25:18.729Z,2017-09-18T15:07:49.000Z,98249
39,40,delivered,16.9,1.68,1,2,2017-10-10T18:31:36.000Z,2017-10-10T18:49:10.314Z,2017-11-17T00:00:00.000Z,2017-10-20T18:29:16.311Z,RIO DE JANEIRO,RJ,205,cama_mesa_banho,26,421,1,1,"",no rastreamento das lojas lannister consta somente o po000000000br que recebi em 20 10 às 15 h às 18 h recebi o po000000000br e o po000000000br cada essência uma entrega desorganização total,2017-10-21T00:00:00.000Z,2017-10-23 13:37:52+00:00,0,0,0,0,0,1,1,1,0,"","",2017-10-10T18:31:36.000Z,2017-10-10,2,3,2017-10-20T18:29:16.311Z,2017-10-10T18:31:36.000Z,863860
40,41,delivered,199.9,18.65,1,1,2018-03-03T20:41:08.000Z,2018-03-06T03:50:29.062Z,2018-03-28T00:00:00.000Z,2018-04-12T22:56:33.779Z,Paraiso do Norte,PR,877,cama_mesa_banho,55,260,1,1,"",ate agora não recebi a mercadoria entro pra rastrear e não consigo rastrear,2018-03-31T00:00:00.000Z,2018-04-04 03:38:16+00:00,0,3,0,0,0,0,0,0,0,atrasado,problemas_de_entrega,2018-03-03T20:41:08.000Z,2018-03-03,1,7,2018-04-12T22:56:33.779Z,2018-03-03T20:41:08.000Z,3464125
41,42,delivered,17.85,16.79,1,1,2017-07-05T21:30:02.000Z,2017-07-05T21:43:28.545Z,2017-08-08T00:00:00.000Z,2017-08-01T19:07:41.274Z,Feira de Santana,BA,440,automotivo,54,87,2,5,"",fantástico,2017-08-02T00:00:00.000Z,2017-08-05 04:32:03+00:00,0,0,0,0,0,0,0,0,3,satisfeito,satisfeito_com_pedido,2017-07-05T21:30:02.000Z,2017-07-05,2,4,2017-08-01T19:07:41.274Z,2017-07-05T21:30:02.000Z,2324259
42,43,delivered,53.99,17.66,1,1,2017-11-25T09:14:23.000Z,2017-11-25T09:33:12.183Z,2017-12-21T00:00:00.000Z,2017-12-28T23:26:52.837Z,Fortaleza,CE,604,perfumaria,44,334,1,1,"",como posso avaliar algo que não recebi já paguei o produto e no status diz que o produto não chegou ainda na unidade da minha cidade entrega para 21 12 0007 cadê o produto fico no prejuízo,2017-12-22T00:00:00.000Z,2017-12-22 12:24:44+00:00,0,3,0,0,0,0,0,0,0,atrasado,problemas_de_entrega,2017-11-25T09:14:23.000Z,2017-11-25,4,7,2017-12-28T23:26:52.837Z,2017-11-25T09:14:23.000Z,2902349
43,44,delivered,118.0,8.08,1,1,2017-12-21T13:29:07.000Z,2017-12-21T13:49:52.268Z,2018-01-10T00:00:00.000Z,2017-12-26T21:06:59.631Z,Sao Paulo,SP,49,perfumaria,29,190,1,4,"",não posso avaliar o produto não foi para uso pessoal o que posso dizer e que a pessoa q ganho gosta muito dele,2017-12-27T00:00:00.000Z,2018-01-03 20:56:36+00:00,0,0,0,0,0,0,0,0,3,satisfeito,satisfeito_com_pedido,2017-12-21T13:29:07.000Z,2017-12-21,4,5,2017-12-26T21:06:59.631Z,2017-12-21T13:29:07.000Z,459472
44,45,delivered,118.0,12.33,1,1,2017-12-06T21:27:33.000Z,2017-12-07T03:16:02.451Z,2017-12-29T00:00:00.000Z,2017-12-11T23:47:48.349Z,Sertaozinho,SP,141,perfumaria,33,345,1,5,"",excelente produto recomendo a compra,2017-12-12T00:00:00.000Z,2017-12-13 10:13:44+00:00,0,0,0,0,0,0,0,0,3,satisfeito,satisfeito_com_pedido,2017-12-06T21:27:33.000Z,2017-12-06,2,4,2017-12-11T23:47:48.349Z,2017-12-06T21:27:33.000Z,440415
45,46,delivered,18.9,11.85,1,1,2018-02-10T20:01:43.000Z,2018-02-10T20:10:23.050Z,2018-03-06T00:00:00.000Z,2018-02-21T15:07:56.566Z,Sao Sebastiao,SP,116,telefonia,60,1440,4,4,"",produto chegou dentro do prazo bem embalado veio todos intens corretos gostei muito,2018-02-22T00:00:00.000Z,2018-02-23 01:15:49+00:00,0,0,0,0,0,0,0,0,3,satisfeito,satisfeito_com_pedido,2018-02-10T20:01:43.000Z,2018-02-10,2,7,2018-02-21T15:07:56.566Z,2018-02-10T20:01:43.000Z,932773
